index,time,S:London__all,S:Eyam__all,I:London__all,I:Eyam__all,obs_mean:Eyam__Kendall__inc,obs_mean:London__Creighton__inc,obs_real:Eyam__Kendall__inc,obs_real:London__Creighton__inc
150,123,372599,133,1184,6,89.1,12896.1,84.4175,13392.4
150,92,384177,240,4367,8,50.4,27848.7,53.6752,25976.9
150,61,406813,293,7028,18,28.8,27981.9,26.7432,31413.1
150,31,443906,346,3203,0,3.6,11601.9,3.51561,13195.1
150,0,458437,347,1563,3,0,0,0,0
151,245,376587,346,0,0,0,2.7,0,2.08277
151,214,376587,346,3,0,0,40.5,0,40.494
151,184,371364,345,32,0,0,537.3,0,612.319
151,153,381754,346,207,0,0,3078.9,0,2987.98
151,123,382105,345,1429,0,0,13941,0,11579.1
151,92,396091,346,3815,0,0,23660.1,0,24674.5
151,61,424632,346,4204,0,0,17172,0,16531.7
151,31,444862,346,3054,0,3.6,10875.6,3.82369,9769.87
151,0,458447,347,1553,3,0,0,0,0
152,245,380971,345,0,0,0,0,0,0
152,214,380971,345,0,0,0,21.6,0,18.9715
152,184,378193,345,10,0,0,506.7,0,513.093
152,153,372636,345,204,0,0,3358.8,0,2999.29
152,123,377391,345,1295,0,0,14298.3,0,16119.8
152,92,392658,345,4200,0,0,26139.6,0,27748.4
152,61,420884,345,5484,0,0,19901.7,0,20745.8
152,31,445362,345,3119,0,4.5,10367.1,3.91976,9236.93
152,0,458441,347,1559,3,0,0,0,0
153,245,375939,114,0,0,0,2.7,0,2.83627
153,214,374954,124,4,0,0.9,36.9,0.99077,36.2426
153,184,375607,129,17,3,16.2,494.1,17.4215,454.033
153,153,376024,131,204,2,28.8,2943.9,30.2564,3116.58
153,123,378273,163,1232,9,69.3,12639.6,55.5306,11862.5
153,92,389506,235,4043,14,54,25027.2,64.0951,20850.8
153,61,417158,319,5284,0,24.3,21050.1,27.2094,21321.5
153,31,443756,346,3655,0,3.6,11330.1,4.09752,11030.9
153,0,458439,347,1561,3,0,0,0,0
154,245,376813,107,1,0,6.3,10.8,5.99949,11.6172
154,214,376821,115,7,0,0.9,52.2,0.707341,51.4274
