index,S:London__all,S:Eyam__all,r0:London__all,r0:Eyam__all,e:all,d:all,mu_d:all,sto:London__all,sto:Eyam__all,rep:London__Creighton__inc,rep:Eyam__Kendall__inc,phi:all,log_like
27,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
28,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
29,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
30,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
31,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
32,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
33,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
34,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
35,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
36,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
37,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
38,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
39,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
40,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
41,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
42,0.996985,0.988585,0.908243,1.09821,0.455547,0.248176,6.75778,0,0,0.49357,0.9,0.1,-87.7965
43,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
44,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
45,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
46,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
47,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
48,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
49,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
50,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
51,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
52,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
53,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
54,0.997923,0.991221,0.9014,1.07614,0.445372,0.249005,6.77223,0,0,0.635728,0.9,0.1,-86.705
55,0.995898,0.991632,0.877951,1.08227,0.448398,0.22783,6.5827,0,0,0.400935,0.9,0.1,-89.1789
56,0.995898,0.991632,0.877951,1.08227,0.448398,0.22783,6.5827,0,0,0.400935,0.9,0.1,-89.1789
57,0.995898,0.991632,0.877951,1.08227,0.448398,0.22783,6.5827,0,0,0.400935,0.9,0.1,-89.1789
58,0.995898,0.991632,0.877951,1.08227,0.448398,0.22783,6.5827,0,0,0.400935,0.9,0.1,-89.1789
59,0.995335,0.992496,0.882424,1.11471,0.450187,0.228178,6.65251,0,0,0.31989,0.9,0.1,-88.0533
60,0.995335,0.992496,0.882424,1.11471,0.450187,0.228178,6.65251,0,0,0.31989,0.9,0.1,-88.0533
61,0.99486,0.994319,0.888145,1.12589,0.456703,0.226591,6.65952,0,0,0.256965,0.9,0.1,-87.5703
62,0.99486,0.994319,0.888145,1.12589,0.456703,0.226591,6.65952,0,0,0.256965,0.9,0.1,-87.5703
63,0.994869,0.99554,0.891675,1.22258,0.460633,0.233337,6.81196,0,0,0.288561,0.9,0.1,-87.6647
64,0.994869,0.99554,0.891675,1.22258,0.460633,0.233337,6.81196,0,0,0.288561,0.9,0.1,-87.6647
65,0.994869,0.99554,0.891675,1.22258,0.460633,0.233337,6.81196,0,0,0.288561,0.9,0.1,-87.6647
66,0.995289,0.99644,0.879376,1.22839,0.460516,0.226638,6.71095,0,0,0.336079,0.9,0.1,-88.1947
67,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
68,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
69,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
70,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
71,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
72,0.99563,0.995832,0.90053,1.21144,0.445039,0.238403,6.68324,0,0,0.34273,0.9,0.1,-87.2215
73,0.996555,0.994667,0.909567,1.22504,0.45432,0.246556,6.7361,0,0,0.408816,0.9,0.1,-87.4858
74,0.996555,0.994667,0.909567,1.22504,0.45432,0.246556,6.7361,0,0,0.408816,0.9,0.1,-87.4858
75,0.995649,0.995051,0.886771,1.23021,0.470312,0.231621,6.80056,0,0,0.32741,0.9,0.1,-88.1676
76,0.995649,0.995051,0.886771,1.23021,0.470312,0.231621,6.80056,0,0,0.32741,0.9,0.1,-88.1676
77,0.995649,0.995051,0.886771,1.23021,0.470312,0.231621,6.80056,0,0,0.32741,0.9,0.1,-88.1676
78,0.995649,0.995051,0.886771,1.23021,0.470312,0.231621,6.80056,0,0,0.32741,0.9,0.1,-88.1676
79,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
80,0.996445,0.995347,0.919704,1.36286,0.457261,0.250854,6.81824,0,0,0.363139,0.9,0.1,-86.0019
